@@object,@@object_lifecycle_length,@@object_general_interaction_graph,@@ocel_lif_activity_A_Validating,@@ocel_lif_activity_A_Incomplete,@@ocel_lif_activity_W_Call incomplete files,@@ocel_lif_activity_A_Accepted,@@ocel_lif_activity_A_Concept,@@ocel_lif_activity_W_Validate application,@@ocel_lif_activity_W_Shortened completion ,@@ocel_lif_activity_O_Created,@@ocel_lif_activity_O_Returned,@@ocel_lif_activity_O_Sent (online only),@@ocel_lif_activity_A_Cancelled,@@ocel_lif_activity_W_Assess potential fraud,@@ocel_lif_activity_A_Pending,@@ocel_lif_activity_W_Call after offers,@@ocel_lif_activity_O_Create Offer,@@ocel_lif_activity_W_Personal Loan collection,@@ocel_lif_activity_W_Handle leads,@@ocel_lif_activity_A_Submitted,@@ocel_lif_activity_O_Refused,@@ocel_lif_activity_O_Sent (mail and online),@@ocel_lif_activity_A_Denied,@@ocel_lif_activity_A_Create Application,@@ocel_lif_activity_A_Complete,@@ocel_lif_activity_O_Cancelled,@@ocel_lif_activity_O_Accepted,@@ocel_lif_activity_W_Complete application,@@object_lifecycle_unq_act,cluster
 Offer_692857984 Application_1370588808,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_163777174 Offer_659905372,26,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Offer_1007493744 Application_909491524,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_396349881 Offer_739070387,20,2,1,1,1,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,20,0
 Application_930742634 Offer_1776282191 Offer_1197160507,26,4,1,1,1,1,1,1,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,4
 Offer_1627163731 Offer_288441629 Application_2068443797,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Application_354702724 Offer_1218843621 Offer_1338496752,24,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,22,4
 Application_1357431492 Offer_1462702200,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_584603670 Offer_1233560445,27,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,5
 Offer_1302746820 Application_807916303 Offer_1465582309,32,4,3,2,2,1,1,3,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,1
 Offer_2006568778 Application_283012951,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1974566073 Offer_1758510468 Offer_1742881111 Application_1876456626,40,6,3,2,2,1,1,3,0,6,2,0,0,0,1,2,3,0,1,1,0,3,0,1,1,4,2,1,29,2
 Offer_340226670 Application_178025821 Offer_1452285181,29,4,2,2,2,1,1,2,0,4,0,1,1,0,0,2,2,0,0,1,0,1,0,1,1,4,0,1,22,4
 Application_813133375 Offer_860450899 Offer_1249425886 Offer_1573002745,34,6,2,1,1,1,1,2,0,6,1,0,0,0,1,2,3,0,0,1,0,3,0,1,1,4,2,1,27,1
 Offer_1612285972 Offer_1909754111 Offer_518009755 Offer_1264731799 Application_268676496,38,8,1,1,1,1,1,1,0,8,1,1,0,0,1,2,4,0,0,1,0,3,0,1,1,6,2,1,30,1
 Offer_387226662 Application_1870161219,26,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Application_1723779444 Offer_517746250 Offer_2006327366,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Offer_681615844 Application_1339153511,32,2,4,4,4,1,1,4,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Application_1754646859 Offer_427046646 Offer_1855513771,20,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,0,17,0
 Application_2002564265 Offer_915189963,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Offer_1647881010 Application_1304234740 Offer_1987791929,30,4,2,2,2,1,1,2,0,4,1,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,23,4
 Offer_1275473738 Offer_570682907 Offer_1574564290 Application_58755651,30,6,1,0,0,1,1,1,0,6,1,2,0,0,0,2,3,0,0,1,6,1,1,1,1,0,0,1,24,4
 Application_93597308 Offer_519819309,24,2,2,2,2,1,1,2,0,2,1,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,20,5
 Offer_141392347 Application_774787486 Offer_1292745163,24,4,1,0,0,1,1,1,0,4,1,0,0,0,0,2,2,0,0,1,4,2,1,1,1,0,0,1,21,4
 Offer_1685918507 Application_1660185664,23,2,2,2,2,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Offer_513332251 Application_2105878744,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_1446096185 Offer_1346286187 Offer_1084399342,28,4,2,2,2,1,1,2,0,4,1,0,0,0,1,2,2,0,0,0,0,1,0,1,1,2,2,1,22,4
 Offer_1383197782 Application_675073178,25,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Offer_575845027 Application_952532843 Offer_1149798095,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Application_914660918 Offer_2134161297,17,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,0,2,1,1,1,1,0,0,1,17,0
 Application_167944225 Offer_606876377,18,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,18,0
 Offer_1373030331 Application_1962860870 Offer_1026878545,22,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,0,0,1,0,1,1,2,2,1,20,4
 Offer_1312704614 Application_1696031128,17,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,0,2,1,1,1,1,0,0,1,17,0
 Application_803879893 Offer_822588443,25,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Application_1886382319 Offer_159153109 Offer_1658433857,20,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,0,0,2,0,1,1,4,0,1,17,0
 Application_1250134245 Offer_514594443 Offer_1450683092,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Offer_1892957803 Application_1044610848,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_1959589862 Application_1999238509,29,2,4,3,3,1,1,4,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Offer_1711038072 Application_854524772,19,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_927205634 Offer_1264698473,19,2,1,1,1,1,1,1,0,2,1,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,19,0
 Offer_1201756876 Application_484278024,19,2,1,1,1,1,1,1,0,2,1,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,19,0
 Application_1674281629 Offer_2114047615 Offer_1769730855,23,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,21,4
 Application_299986859 Offer_1747811596,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Application_1374020543 Offer_30985588,30,2,4,3,3,1,1,5,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Offer_1339302196 Offer_1989119949 Offer_446640290 Offer_1972623570 Application_1252717204,35,8,1,0,0,1,1,1,0,8,1,0,0,0,1,2,4,0,0,0,0,4,0,1,1,6,2,1,27,1
 Application_24648067 Offer_682110028,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Application_1823402778 Offer_1185562763 Offer_480986136 Offer_856471158,30,6,1,0,0,1,1,1,0,6,1,1,0,0,1,2,3,0,0,1,0,2,0,1,1,4,2,1,25,1
 Offer_240332268 Application_2108937169,24,2,2,2,3,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Offer_533969936 Application_895241174 Offer_1570229159 Offer_645753135,29,6,1,0,0,1,1,1,0,6,1,1,0,0,1,2,3,0,0,0,0,2,0,1,1,4,2,1,24,1
 Application_1290239114 Offer_913513267,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_1787371920 Offer_1290421381,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Offer_72138522 Offer_253224262 Application_1471099537,22,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,0,0,1,0,1,1,2,2,1,20,4
 Offer_318390809 Application_37839400,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Offer_633250251 Offer_864688635 Application_1128910355,25,4,1,1,1,1,1,1,0,4,1,0,1,0,0,2,2,0,0,0,0,2,0,1,1,4,0,1,22,4
 Application_54405635 Offer_1138597209,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Application_395903076 Offer_854462842,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_1859638703 Offer_1118658251 Offer_2029556784,27,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,0,23,4
 Application_1101997724 Offer_1513905864,21,2,1,1,1,1,1,1,0,2,1,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,21,0
 Offer_1398220931 Application_74505494 Offer_1722242928,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Offer_135915835 Application_525275343,19,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,1,1,2,1,1,1,1,0,0,1,19,0
 Application_106973225 Offer_1268820311,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1315608886 Offer_1453827080,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_1538441067 Offer_2016468100 Offer_565518897,25,4,1,1,1,1,1,1,0,4,1,0,1,0,0,2,2,0,0,0,0,2,0,1,1,4,0,1,22,4
 Offer_625228043 Application_822724921 Offer_1680535733,28,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,4
 Offer_6390600 Offer_1504835931 Application_2040511284 Offer_1257962808,26,6,0,0,0,1,1,0,0,6,0,0,1,0,0,2,3,0,0,0,0,3,0,1,1,6,0,1,20,4
 Application_1754943309 Offer_639398314,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Offer_204685571 Application_323012882,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Offer_1712011776 Application_347136910,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1935259954 Application_1432907447,19,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_1004303396 Offer_1517935463,34,2,5,4,4,1,1,5,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Offer_416560951 Offer_966148922 Application_1096831814,27,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,23,4
